name,score,reviewNum,price,link
제주 길리리조트,5.0,67.0,180000.0,/pension/10047368
제주 로비나발리168펜션(신축),5.0,226.0,130000.0,/pension/10043183
서귀포 블루마운틴4255리조트,4.5,162.0,139000.0,/pension/1000105972
"제주 로비나발리플러스(신축,오션뷰)",5.0,145.0,230000.0,/pension/10046493
서귀포 에코스위츠펜션,4.8,43.0,87000.0,/pension/3015941
서귀포 스테이디앤디풀빌라,4.6,107.0,120000.0,/pension/10039529
제주 애월 씨앤스타펜션(신축펜션),4.7,154.0,109000.0,/pension/1000109860
제주 애월브릭하우스펜션,5.0,21.0,100000.0,/pension/10049007
서귀포 청리조트,4.8,68.0,79000.0,/pension/10044627
제주 머문펜션 (개별 편백나무 사우나 추가금 없음),5.0,4.0,169000.0,/pension/10054228
제주 애월애독채펜션,4.6,8.0,210000.0,/pension/10051971
서귀포 선셋코스트 카라반&캠핑장,5.0,2.0,120000.0,/pension/10055378
"제주 루마인펜션(비치썬라이즈,파티-퍼즈바 대여)",4.3,378.0,119000.0,/pension/3012511
제주 선흘안풀빌라(넓은평수 감성숙소),4.9,15.0,,/pension/10052164
서귀포 걷다보면윤노리낭펜션,5.0,11.0,180000.0,/pension/10047225
제주 화이트하우스펜션,4.0,1.0,55000.0,/pension/10048894
제주 29애월풀빌라,5.0,19.0,129000.0,/pension/1000086997
제주 윈드밀108풀빌라,5.0,344.0,189000.0,/pension/1000109418
제주 바다위에펜션,4.9,602.0,390000.0,/pension/3009701
제주 아쿠아뷰티크풀빌라(월정리),4.5,128.0,69000.0,/pension/3018197
서귀포 캐슬렉스제주골프빌라펜션,,,,/pension/10048007
"서귀포 힐링스파펜션(스파사우나무료, 비대면입실)",4.5,505.0,65000.0,/pension/3016188
제주 산티아고풀빌라(신축),4.8,19.0,231000.0,/pension/10053549
제주 미아독채풀빌라,4.8,49.0,359000.0,/pension/10051206
서귀포 내려놓기펜션,5.0,6.0,,/pension/10047864
제주 돌담이우다펜션,5.0,27.0,243000.0,/pension/10048737
"제주 작약꽃펜션(곽지해변,스파)",4.7,21.0,146000.0,/pension/10050240
서귀포 제주하이맘키즈가족펜션블랙,4.8,39.0,59000.0,/pension/10043413
제주 애월사랑펜션( 리모델링완료),4.5,34.0,58500.0,/pension/1000109890
서귀포 후하우스풀빌라,4.7,54.0,173550.0,/pension/3015753
"제주 보롬코지펜션(전객실오션뷰,신축)",4.6,381.0,114000.0,/pension/3014675
서귀포 블루마운틴4255리조트,4.5,162.0,139000.0,/pension/1000105972
제주 엠스테이펜션,4.2,182.0,,/pension/3014603
서귀포 마린포트리조트,4.6,119.0,53910.0,/pension/1000092663
제주 하이맘키즈펜션실버,4.8,6.0,105300.0,/pension/10052186
"서귀포 마가렛펜션(연박이벤트,리뉴얼,친환경감귤농장체험)",4.7,434.0,84000.0,/pension/3003099
서귀포 블랙랜드레이스펜션,4.1,150.0,122000.0,/pension/3016122
서귀포 제주키즈가족바닷가하우스펜션,4.9,33.0,,/pension/10043412
서귀포 마녀의언덕펜션(리뉴얼),5.0,36.0,155000.0,/pension/1000104912
제주 나인스파빌펜션(인기짱 바베큐),4.1,614.0,79200.0,/pension/3004613
서귀포 제주벨루가 풀빌라(조식무료),5.0,41.0,,/pension/1000103200
"제주 써니펜션 (BBQ 맛집,돌고래 전망 바닷가앞)",4.9,682.0,89000.0,/pension/3020240
제주 주월담펜션,5.0,15.0,220000.0,/pension/10047154
서귀포 행복한집풀빌라,,,,/pension/10055138
제주 달빛고운펜션,4.8,165.0,50000.0,/pension/1000092953
제주 그림리조트,3.9,115.0,50000.0,/pension/1000109195
"제주 하얀별펜션(★낭만뷰특가,구엄리염전)",4.4,182.0,40000.0,/pension/1000089896
제주 단겸펜션 (월정리해수욕장),4.7,239.0,58000.0,/pension/3017034
제주 빨간풍차펜션,4.3,146.0,35100.0,/pension/3006237
제주 몽돌리조트(신축독채),4.7,32.0,,/pension/10040693
제주 포엠하우스펜션,4.4,9.0,54000.0,/pension/10049430
제주 협재클레르드륀펜션,5.0,19.0,250000.0,/pension/1000101215
"서귀포 산방산에머물다펜션 (★비대면입실,반신욕기무료)",4.5,424.0,69000.0,/pension/3017615
서귀포 아리아펜션,,,58000.0,/pension/3014642
제주 어느멋진날풀빌라(23년신축),5.0,18.0,,/pension/10053953
서귀포 뜨리바다펜션,4.2,53.0,90000.0,/pension/3015970
"제주 금성487펜션 (애월,곽지해수욕장,신축)",5.0,32.0,115000.0,/pension/10044949
서귀포 대정시크릿풀빌라,3.8,12.0,90000.0,/pension/10052662
제주 완이(e)-클라쓰펜션,5.0,22.0,77000.0,/pension/1000110350
서귀포 바다위언덕펜션,4.8,276.0,,/pension/3008612
서귀포 한훤펜션,5.0,1.0,,/pension/10055218
제주 제주펜션선빈,4.3,49.0,66500.0,/pension/10043056
서귀포 블라섬펜션(23년신축독채),4.7,10.0,146000.0,/pension/10050798
제주 별지기집펜션(자쿠지&독채),5.0,1.0,370000.0,/pension/10048809
